LoggerLoop, antispamlol_bot:     	Pausing Ping loop in DC 3.0 for 60
PingLoop, antispamlol_bot:       	Ping DC 3.0
WriteLoop, antispamlol_bot:      	Sending ping_delay_disconnect pending as encrypted message to DC 3.0
WriteLoop, antispamlol_bot:      	Sent encrypted payload to DC 3.0
LoggerLoop, antispamlol_bot:     	Pausing write loop in DC 3.0 until resume is called
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 3.0 for 5
UpdateLoop, antispamlol_bot:     	Resumed and fetching normal difference...
WriteLoop, antispamlol_bot:      	Sending updates.getDifference pending as encrypted message to DC 2.0
WriteLoop, antispamlol_bot:      	Sent encrypted payload to DC 2.0
LoggerLoop, antispamlol_bot:     	Pausing write loop in DC 2.0 until resume is called
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 2.0 for 5
ReadLoop, antispamlol_bot:       	Received payload from DC 2.0
LoggerLoop, antispamlol_bot:     	Pausing read loop in DC 2.0 until resume is called
ResponseHandler, antispamlol_bot: 	Received rpc_result from DC 2
SeqNoHandler, antispamlol_bot:   	SECURITY WARNING: Seqno mismatch (should be 6949, is 855, incoming message rpc_result)
UpdateLoop, antispamlol_bot:     	Got updates.differenceEmpty
UpdateLoop, antispamlol_bot:     	Finished parsing updates in getUpdate loop generic, now resuming feeders
UpdateLoop, antispamlol_bot:     	Finished parsing updates in getUpdate loop generic, pausing for 10 seconds
LoggerLoop, antispamlol_bot:     	Pausing getUpdate loop generic for 10
ReadLoop, antispamlol_bot:       	Received payload from DC 3.0
LoggerLoop, antispamlol_bot:     	Pausing read loop in DC 3.0 until resume is called
ResponseHandler, antispamlol_bot: 	Received pong from DC 3
SeqNoHandler, antispamlol_bot:   	SECURITY WARNING: Seqno mismatch (should be 4, is 0, incoming message pong)
LoggerLoop, antispamlol_bot:     	Pausing call check for 10
Session, antispamlol_bot:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, antispamlol_bot:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session, antispamlol_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2946 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
LoggerLoop, antispamlol_bot:     	Pausing robin loop DC -4 for 10
LoggerLoop, antispamlol_bot:     	Pausing robin loop DC -2 for 10
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 1.0 until resume is called
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2947 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2948 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2949 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2950 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 3.0 until resume is called
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 2.0 for 5
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2951 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2952 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
SessionPaths, antispamlol_bot:   	Waiting for exclusive lock of D:\xampp\htdocs\bogdan\antispam1\bot.madeline\safe.php.lock...
SessionPaths, antispamlol_bot:   	Got exclusive lock of D:\xampp\htdocs\bogdan\antispam1\bot.madeline\safe.php.lock...
SessionPaths, antispamlol_bot:   	Waiting for exclusive lock of D:\xampp\htdocs\bogdan\antispam1\bot.madeline\lightState.php.lock...
SessionPaths, antispamlol_bot:   	Got exclusive lock of D:\xampp\htdocs\bogdan\antispam1\bot.madeline\lightState.php.lock...
APIWrapper, antispamlol_bot:     	Saved session!
LoggerLoop, antispamlol_bot:     	Pausing serialize for 30
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2953 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2954 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 2 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2955 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 2.0 for 5
UpdateLoop, antispamlol_bot:     	Resumed and fetching normal difference...
WriteLoop, antispamlol_bot:      	Sending updates.getDifference pending as encrypted message to DC 2.0
WriteLoop, antispamlol_bot:      	Adding msgs_ack
WriteLoop, antispamlol_bot:      	Wrapping in msg_container (2 messages of total size 52) as encrypted message for DC 2.0
WriteLoop, antispamlol_bot:      	Sent encrypted payload to DC 2.0
LoggerLoop, antispamlol_bot:     	Pausing write loop in DC 2.0 until resume is called
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 2.0 for 5
LoggerLoop, antispamlol_bot:     	Pausing call check for 10
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
ReadLoop, antispamlol_bot:       	Received payload from DC 2.0
LoggerLoop, antispamlol_bot:     	Pausing read loop in DC 2.0 until resume is called
ResponseHandler, antispamlol_bot: 	Received rpc_result from DC 2
SeqNoHandler, antispamlol_bot:   	SECURITY WARNING: Seqno mismatch (should be 6949, is 857, incoming message rpc_result)
UpdateLoop, antispamlol_bot:     	Got updates.differenceEmpty
UpdateLoop, antispamlol_bot:     	Finished parsing updates in getUpdate loop generic, now resuming feeders
UpdateLoop, antispamlol_bot:     	Finished parsing updates in getUpdate loop generic, pausing for 10 seconds
LoggerLoop, antispamlol_bot:     	Pausing getUpdate loop generic for 10
Session, antispamlol_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2956 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 2 outgoing messages in DC 2, 1 left
LoggerLoop, antispamlol_bot:     	Pausing robin loop DC -4 for 10
LoggerLoop, antispamlol_bot:     	Pausing robin loop DC -2 for 10
LoggerLoop, antispamlol_bot:     	Pausing Ping loop in DC 4.0 for 60
PingLoop, antispamlol_bot:       	Ping DC 4.0
WriteLoop, antispamlol_bot:      	Sending ping_delay_disconnect pending as encrypted message to DC 4.0
WriteLoop, antispamlol_bot:      	Sent encrypted payload to DC 4.0
LoggerLoop, antispamlol_bot:     	Pausing write loop in DC 4.0 until resume is called
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 4.0 for 5
ReadLoop, antispamlol_bot:       	Received payload from DC 4.0
LoggerLoop, antispamlol_bot:     	Pausing read loop in DC 4.0 until resume is called
ResponseHandler, antispamlol_bot: 	Received pong from DC 4
SeqNoHandler, antispamlol_bot:   	SECURITY WARNING: Seqno mismatch (should be 6, is 2, incoming message pong)
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2957 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, antispamlol_bot:        	Garbage collected 1 outgoing messages in DC 4, 0 left
